124.700;RIGHT;06:30:08;06:30:11	;3.12
124.700;RIGHT;06:30:16;06:30:19	;3.04
124.700;RIGHT;06:30:26;06:30:29	;2.65
124.700;RIGHT;06:30:37;06:30:42	;4.14
124.700;RIGHT;06:30:46;06:30:50	;3.94
124.700;RIGHT;06:30:54;06:30:56	;2.42
124.700;RIGHT;06:31:00;06:31:01	;0.64
124.700;RIGHT;06:31:02;06:31:05	;3.38
124.700;RIGHT;06:31:19;06:31:23	;4.14
124.700;RIGHT;06:31:27;06:31:29	;2.22
124.700;RIGHT;06:31:35;06:31:37	;2.17
124.700;RIGHT;06:31:41;06:31:44	;2.74
124.700;RIGHT;06:32:12;06:32:15	;2.74
124.700;RIGHT;06:32:36;06:32:40	;3.84
124.700;RIGHT;06:33:01;06:33:04	;2.84
124.700;RIGHT;06:33:25;06:33:27	;2.00
124.700;RIGHT;06:33:41;06:33:44	;3.02
124.700;RIGHT;06:33:49;06:33:51	;2.00
124.700;RIGHT;06:33:54;06:33:57	;2.38
124.700;RIGHT;06:33:59;06:34:02	;3.08
124.700;RIGHT;06:34:05;06:34:07	;1.61
124.700;RIGHT;06:34:11;06:34:13	;2.14
124.700;RIGHT;06:34:18;06:34:21	;2.16
124.700;RIGHT;06:34:24;06:34:26	;2.77
124.700;RIGHT;06:34:29;06:34:31	;2.18
